,name,distance,mass,radius
0,SDSS J000013.54+255418.6 [de],46.1,0.045820224,1.1345380509070057e-05
1,2MASS J00040288-6410358,192.0,0.018137172,1.8679767908872925e-05
2,2MASS J00242463-0158201,37.7,0.075412452,1.2491378540289258e-05
3,2MASS J00274197+0503417,236.0,0.029592228,1.650237164955645e-05
4,2MASSW J0030300-145033,87.2,0.051547752,1.1230780705948137e-05
5,2MASS J00332386-1521309 [de],131.0,0.027683052,1.638777184643453e-05
6,2MASS J00345157+0523050,31.0,0.040092696000000004,1.0772381493460457e-05
7,2MASS 0036+1821,28.6,0.040092696000000004,1.0772381493460457e-05
8,2MASSW J0045214+163445,57.0,0.021955524,1.856516810575101e-05
9,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,1.4897974405849571e-05
10,2MASS J00501994-3322402 [de],34.0,0.03818352,1.0772381493460457e-05
11,2MASS J00584253-0651239 [de],96.0,0.027683052,1.638777184643453e-05
12,2MASSI J0103320+193536,70.0,0.049638576000000004,1.1230780705948137e-05
13,SDSSp J010752.33+004156.1 [de],51.0,0.049638576000000004,1.1230780705948137e-05
14,2MASSI J0117474-340325 [de],163.0,0.01909176,1.856516810575101e-05
15,2MASS J01415823-4633574 [de],130.0,0.01909176,1.845056830262909e-05
16,SDSS J015141.69+124429.6,70.0,0.044865636,1.1116180902826219e-05
17,SDSS J020742.48+000056.2 [de],111.0,0.044865636,1.1116180902826219e-05
18,2MASS J02103857-3015313,101.0,0.014318820000000001,1.7533769877653727e-05
19,2MASS J02340093-6442068,155.0,0.01909176,1.856516810575101e-05
20,2MASS J02411151-0326587 [de],152.0,0.025773876,1.6158572240190688e-05
21,2MASS J02431371−2453298,35.0,0.031501404000000004,1.1345380509070057e-05
22,LP 771-21,53.0,0.074457864,1.2376778737167337e-05
23,Teegarden's star,12.578,0.07636704,1.455417499648381e-05
24,2MASS J02535980+3206373,184.0,0.06204822,2.1773962593164757e-05
25,WISE J0254+0223,24.0,0.06204822,2.1773962593164757e-05
26,DEN 0255-4700,16.2,0.07636704,1.1116180902826219e-05
27,2MASS J03185403-3421292 [de],45.0,0.046774812,1.1116180902826219e-05
28,2MASS J03205965+1854233,47.0,0.084003744,1.3178977359020774e-05
29,2MASS J03231002-4631237,192.0,0.021955524,1.9023567318238686e-05
30,SDSS J032553.17+042540.1,59.0,0.04295646,1.0886981296582378e-05
31,2MASS J03264225-2102057 [de],80.0,0.017182584,1.4897974405849571e-05
32,2MASS J03284265+2302051 [de],98.0,0.051547752,1.1230780705948137e-05
33,2MASS J03341218-4953322,27.0,0.069684924,1.1918379524679658e-05
34,LP 944-20,20.9,0.069684924,1.638777184643453e-05
35,2MASP J0345432+254023,88.0,0.070639512,1.2032979327801579e-05
36,Teide 1,380.0,0.05250234,4.331872558008568e-05
37,2MASS J03510004-0052452,48.0,0.09736797600000001,1.455417499648381e-05
38,2MASS J03552337+1133437,29.8,0.01909176,1.5127174012093412e-05
39,2MASS J04151954−0935066,18.6,0.028637640000000002,1.0886981296582378e-05
40,2MASS J04285096-2253227 [de],85.0,0.07636704,1.2491378540289258e-05
41,2MASS J04351612-1606574,34.0,0.0954588,1.443957519336189e-05
42,2MASS J04362788-4114465,142.0,0.037228932,2.2576161215018195e-05
43,2MASS J04390101-2353083 [de],29.5,0.045820224,1.1116180902826219e-05
44,2MASS J04433764+0002040,82.0,0.021000936,2.039876495570172e-05
45,2MASS J04455387-3048204 [de],42.0,0.061093632,1.1459980312191978e-05
46,2MASS J04510093-3402150 [de],69.0,0.068730336,1.1918379524679658e-05
47,2MASS J05002100+0330501 [de],44.0,0.061093632,1.1459980312191978e-05
48,2MASS J05012406-0010452 [de],64.0,0.020046348000000002,1.581477283082493e-05
49,2MASS J05160945-0445499 [de],73.0,0.044865636,1.1116180902826219e-05
50,2MASS J0523−1403,40.0,0.064911984,1.1574580115313898e-05
51,SDSS J053951.99-005902.0,41.62,0.058229868000000004,1.1574580115313898e-05
52,LSR 0602+3910 [de],34.6,0.026728464,1.6158572240190688e-05
